District,Property,PropTag,Area_km2,TenureCode,NT_Por,UTM_Zone,Orient,Scale,Inspected,YearInsp,PrevYear1,PrevYear2,Officer1,Officer2,MapUpdated,Buff_km
Tennant Creek,ANNITOWA,ATW,"4,312",PPL 1133,"NT Por 1095, 1094 & 581",53,Landscape,"105,000",9/13/2016,2016,2008,0,M. Humphrys,,6/22/2017,10
Barkly,ANTHONY LAGOON,ATL,"6,314",PPL 1016,"NT Por 4466, 3861, 4465, 7507, 5153, 5155 & 4464",53,Portrait,,5/14/2018,2018,2013,0,D. Hooper,E. Kippers,12/4/2018,5
Plenty,ARAPUNYA,APY,"2,431",PPL 1118,NT Por 481,53,Landscape,"85,000",9/7/2017,2017,2009,0,C. Wallace,H. Brink,9/26/2016,10
Plenty,ARGADARGADA,ARG,"5,139",PPL 1137,NT Por 370,53,Portrait,"72,000",8/2/2017,2017,2009,0,A. Scott,H. Brink,2/9/2018,10
Katherine,AROONA,ANA,"1,500",PPL 1038,NT Por 3982,52,Portrait,"75,000",9/4/2018,2018,2015,0,B. Sauer,D. Hooper,2/20/2020,10
Barkly,AUSTRAL DOWNS,ASD,"2,004",PPL 922,NT Por 1605,53,Portrait,,5/13/2017,2017,2009,0,D. Hooper,E. Kippers,9/6/2017,10
VRD,AUVERGNE,AVN,"4,242",PPL 1081,"NT Por 5133, 4353 & 2676",52,Portrait,"132,000",6/26/2019,2019,2012,0,D. Hooper,D. McIntyre,7/31/2017,5
Sturt Plateau,AVAGO,AGO,"1,578",PPL 1191,NT Por 3419,53,Landscape,"60,000",7/3/2017,2017,2010,0,D. Hooper,E. Kippers,7/24/2020,10
Barkly,AVON DOWNS,AVD,"3,939",PPL 926,NT Por 298,53,Portrait,,5/10/2017,2017,2007,0,B. Lynes,J. Targett,10/30/2019,10
Darwin,BAN BAN SPRINGS,BBS,"1,872",PPL 1111,"NT Por 1344, 695",52,Landscape,,9/18/2017,2017,2008,0,B. Lynes,R. McGregor,10/4/2017,5
Sturt Plateau,BANJO,BJO,578,PL 1195,NT Por 5807,53,Portrait,,10/9/2018,2018,2014,0,D. Hooper,S. Washusen,8/10/2016,5
Barkly,BANKA BANKA EAST,BKE,"1,901",PPL 1204,NT Por 7049,53,Landscape,"80,000",5/13/2019,2019,2014,0,J. Targett,S. Washusen,1/13/2020,3
Barkly,BANKA BANKA WEST,BKW,"1,407",PL 1203,NT Por 7048,53,Portrait,,5/13/2019,2019,2014,0,D. Hooper,R. Eastick,12/12/2017,3
Barkly,BEETALOO,BTL,"7,078",PPL 1059,NT Por 702,53,Landscape,"170,000",7/2/2018,2018,2013,0,B. Sauer,D. Hooper,6/22/2017,10
Barkly,BENMARA,BMA,"4,511",PPL 963,NT Por 963,53,Portrait,,10/15/2018,2018,2016,0,J. Targett,S. Washusen,12/10/2019,10
Roper,BIG RIVER,BGR,707,PPL 1228,NT Por 4973,53,Portrait,"57,000",9/30/2017,2017,2011,0,J. Targett,B. Lynes,7/21/2016,10
Sturt Plateau,BIRDUM CREEK,BDC,763,PPL 1216,NT Por 3050,53,Portrait,,9/26/2018,2018,2011,0,J. Targett,S. Washusen,6/10/2020,8
Sturt Plateau,BIRRIMBA,BIB,"2,595",PL 935,NT Por 2666,53,Portrait,,7/1/2020,2020,2015,0,S. Washusen,J.Targett,9/8/2017,5
VRD,BIRRINDUDU,BDU,"4,150",PPL 1012,NT Por 479,52,Landscape,,6/22/2016,2016,1998,0,D. Hooper,N. Prunckun,5/17/2021,10
Sturt Plateau,BLOODWOOD DOWNS,BWD,577,PL 1197,NT Por 2730,53,Landscape,"57,000",7/26/2017,2017,2010,0,D. Hooper,E. Kippers,10/2/2018,5
Northern Alice Springs,BOND SPRINGS,BDS,"1,613",PPL 960,"NT Por 650, 4351, 4080, 4331, 4292, 4262 & 4293",53,Landscape,"75,000",7/14/2016,2016,2007,0,M. Humphrys,A. Scott,2/4/2019,5
Darwin,BONROOK,BRK,491,PL 1209,NT Por 710,52,Portrait,"33,000",8/31/2019,2019,2015,0,B. Datt,S. Washusen,11/2/2017,5
Darwin,BRIDGE CREEK,BCK,333,PPL 1213,NT Por 6299,52,Portrait,"43,000",8/22/2017,2017,2008,0,B. Lynes,J. Targett,11/21/2019,5
Gulf,BROADMERE,BDM,"2,590",PPL 1046,NT Por 1202,53,Portrait,"82,000",8/29/2018,2018,2014,0,J. Targett,S. Washusen,11/20/2019,5
Barkly,BRUNCHILLY,BCY,"3,235",PPL 945,NT Por 283,53,Portrait,,5/13/2019,2019,2014,0,J. Targett,S. Washusen,10/28/2019,5
Barkly,BRUNETTE DOWNS,BND,"12,212",PPL 925,"NT Por 926, 1483 & 1367",53,Portrait,"195,000",8/8/2016,2016,2008,0,D. Hooper,N. Prunckun,10/19/2016,10
Sturt Plateau,BUCHANAN DOWNS,BCD,"1,256",PPL 1082,NT Por 2725,53,Landscape,"65,000",10/23/2017,2017,2011,0,D. Hooper,E. Kippers,11/29/2018,15
VRD,BULLO RIVER,BLR,"1,267",PPL 1071,NT Por 1587,52,Landscape,,9/15/2020,2020,2015,0,D. Hooper,E. Kippers,1/23/2019,10
VRD,BUNDA,BDA,"1,788",PPL 1027,NT Por 3700,52,Portrait,"75,000",6/14/2015,2015,2007,0,B. Lynes,P. Burley,12/11/2018,10
Barkly,BURRAMURRA,BRM,"2,265",PPL 974,NT Por 3118 & 4203,53,Portrait,,5/11/2017,2017,2009,0,D. Hooper,E. Kippers,10/9/2020,5
Northern Alice Springs,BUSHY PARK,BSP,"1,693",PPL 1122,NT Por 687,53,Portrait,,9/11/2018,2018,2014,0,H. Brink,R. Bista,7/22/2015,10
Gulf,CALVERT HILLS,CVH,"4,832",PPL 1169,NT Por 668,53,Portrait,,9/14/2019,2019,2014,0,D. Hooper,E. Kippers,7/7/2016,10
VRD,CAMFIELD,CFD,"2,769",PPL 1025,NT Por 3736,52,Landscape,,6/29/2015,2015,2015,0,B. Schumacher,D. Hooper,10/30/2019,10
